#CLLF -> Classic LISA Low Frequency
#Classic LISA curve with the low-frequency shape of Proposed LISA (PL)
#shifted to lower frequencies and splined together with Classic LISA. 
#CL is from Larson et al 2000. 
f	ASD
5.134318000000002568e-05	2.977206999999999199e-17
5.253947999999995864e-05	2.843176000000005955e-17
5.376364999999998456e-05	2.715171000000000757e-17
5.501633999999996596e-05	2.592932000000001142e-17
5.629822000000001068e-05	2.476198999999991672e-17
5.760996999999994268e-05	2.364719000000007424e-17
5.895227999999994576e-05	2.258256000000007684e-17
6.032587000000005673e-05	2.156589000000005127e-17
6.173145999999996004e-05	2.059496999999993934e-17
6.316980000000006052e-05	1.966777000000003567e-17
6.464166000000005289e-05	1.878231999999997387e-17
6.614780999999995037e-05	1.793672999999998329e-17
6.768905999999995870e-05	1.712920000000000589e-17
6.926620999999994410e-05	1.635803999999994227e-17
7.088011999999993963e-05	1.562158999999996804e-17
7.253161999999993559e-05	1.491829000000000969e-17
7.422159999999992648e-05	1.424665999999999781e-17
7.595097000000003017e-05	1.360526999999997876e-17
7.772062999999998435e-05	1.299274000000004077e-17
7.953152000000008519e-05	1.240781000000003628e-17
8.138460999999995330e-05	1.184919999999996773e-17
8.328086000000007596e-05	1.131574000000000416e-17
8.522130999999994318e-05	1.080629999999997616e-17
8.720696000000000437e-05	1.031978999999997827e-17
8.923889000000002339e-05	9.855181999999974651e-18
9.131815000000004657e-05	9.411495999999987657e-18
9.344587000000007166e-05	8.987782000000001900e-18
9.562319999999990805e-05	8.583139000000030453e-18
9.785112999999999092e-05	8.196732999999975103e-18
1.001311000000000144e-04	7.827708000000005680e-18
1.024641999999999871e-04	7.475293000000022490e-18
1.048516000000000178e-04	7.138751999999990408e-18
1.072946000000000484e-04	6.817361000000010204e-18
1.097945999999999737e-04	6.510434000000009249e-18
1.123528000000000265e-04	6.217330000000006960e-18
1.149705999999999526e-04	5.937418000000007090e-18
1.176493999999999582e-04	5.670108999999995965e-18
1.203907000000000534e-04	5.414834999999992034e-18
1.231957999999999903e-04	5.171056999999984948e-18
1.260661999999999688e-04	4.938252999999993810e-18
1.290035000000000465e-04	4.715928000000006820e-18
1.320093999999999359e-04	4.503607999999984210e-18
1.350852000000000530e-04	4.300853000000011361e-18
1.382325999999999748e-04	4.107224999999988559e-18
1.414534999999999426e-04	3.922311999999989826e-18
1.447493000000000813e-04	3.745727000000015352e-18
1.481219999999999347e-04	3.577090000000014914e-18
1.515732000000000754e-04	3.416047000000012265e-18
1.551048999999999928e-04	3.262253000000004808e-18
1.587189000000000568e-04	3.115381000000005425e-18
1.624169999999999596e-04	2.975126000000010480e-18
1.662012999999999837e-04	2.841181999999995641e-18
1.700737999999999707e-04	2.713267999999989082e-18
1.740365000000000336e-04	2.591113999999996272e-18
1.780916000000000823e-04	2.474459000000009044e-18
1.822411000000000126e-04	2.363057000000008441e-18
1.864873999999999384e-04	2.256670000000005111e-18
1.908325000000000808e-04	2.155071999999994213e-18
1.952788000000000657e-04	2.058049999999994222e-18
1.998288999999999664e-04	1.965393999999992487e-18
2.044848999999999029e-04	1.876910999999998486e-18
2.092492999999999686e-04	1.792411000000005985e-18
2.141248999999999529e-04	1.711714999999994323e-18
2.191140000000000438e-04	1.634651999999996138e-18
2.242192999999999693e-04	1.561060000000004041e-18
2.294437000000000408e-04	1.490779999999999936e-18
2.347896999999999994e-04	1.423664000000000801e-18
2.402603000000000551e-04	1.359570000000005085e-18
2.458583999999998685e-04	1.298362000000003107e-18
2.515869000000001306e-04	1.239909000000001620e-18
2.574488000000000210e-04	1.184090000000001532e-18
2.634473999999999605e-04	1.130782000000002801e-18
2.695858000000000304e-04	1.079874999999998462e-18
2.758671000000000951e-04	1.031259999999997816e-18
2.822947999999999929e-04	9.848330999999971590e-19
2.888722000000000360e-04	9.404976999999988917e-19
2.956030000000000766e-04	8.981580000000023664e-19
3.024904999999998849e-04	8.577247999999988790e-19
3.095384999999999435e-04	8.191121999999991458e-19
3.167507999999999218e-04	7.822380000000020233e-19
3.241310999999998891e-04	7.470243000000011296e-19
3.316832999999999826e-04	7.133964999999992954e-19
3.394115000000000825e-04	6.812827000000018468e-19
3.473198999999998321e-04	6.506150000000024310e-19
3.554124000000001820e-04	6.213282000000000794e-19
3.636935000000001187e-04	5.933605999999982777e-19
3.721676000000001126e-04	5.666522000000021470e-19
3.808391000000001464e-04	5.411467000000018669e-19
